titulo	genero	año	director	actores
Knives Out	Comedy, Crime, Drama, Mystery, Thriller	2019	Rian Johnson	Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis
1917	Drama, War	2019	Sam Mendes	Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth
